Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
"CREW CHIEF, PARKS",Parks,Community Services,69881.11,883,06eeed4149be33acc41767f78c3e07587688dc5c
"PLANNER, CITY",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",69854.48,884,eb79310e07c724038bb28432f73211735dcf1e9b
PLANT OPERATOR,Ut Water Production Div,Utility Services,69823.96,885,f7d4cf4dfcf81f0447db40e44971a005f427cd8f
PLANT OPERATOR,Ut Water Production Div,Utility Services,69823.96,886,f7d4cf4dfcf81f0447db40e44971a005f427cd8f
"SUPERVISOR, CIVIL ENGINEERING",Engineering,"Planning, Dev & Transportation",69814.76,887,69aca1e3da7821a3b3ce25d4ea5fb3528e8d3873
"ASST SUPERINTENDENT, PARKS",Parks,Community Services,69790.24,888,1b8235ce5ee6c4a29d1c3ff48796829754bee86e
"PLANNER, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",69772.50,889,4d6a2bb0736962cf5f40f32b63dfc7112ea0fbf8
COMMUNITY SERVICE OFFICER,Patrol,Police Services,69738.52,890,7cbb531949fe96e8b96801221d4f464773dfef9f
"ADMINISTRATOR I, SYSTEMS",Information Technology,Information & Employee Svcs,69701.49,891,064baafddc2b196e0100e1e02b696ffc761ad8a2
PLANS EXAMINER,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",69646.89,892,fc4808c41911b6ba4bfb33fb754030c07135ed19
"AUDITOR II, SALES TAX",Sales Tax,Financial Services,69637.85,893,c2d7353bf41532c3e602c2f73c8220321e6aab08
CIVIL ENGINEER III,Engineering,"Planning, Dev & Transportation",69586.90,894,01f04cfdebee59193b4fe46f406a8dedaa1697f1
PUBLIC AFFAIRS / COMM MGR,Poudre Fire Authority,Poudre Fire Authority,69502.68,895,a37785be09f2aa77954691d62bc65ad1806560ed
"TECHNICIAN II, WTR FIELD UTIL",Ut Water Production Div,Utility Services,69462.11,896,e5a893d7f8cedf01f789a3a4df88b9287cdf69af
"SR SUPERVISOR, PLANT OPS",Ut Standards Engineering Div,Utility Services,69356.58,897,455a540bd6d895a25c9ffe385feab51004fa52e4
PLANT OPERATOR,Ut Wtr Reclama & Biosolids Div,Utility Services,69343.82,898,64200b6ff76d8b097faa989c549f990089cbfe35
"SR SPECIALIST, ENVIRO SUSTAIN",Environmental Services,Sustainability Services,69322.83,899,77700545c5dbc54ac9685d9820e5edaf99ddd41c
"SPECIALIST, PUBLIC ENGAGEMENT",Natural Areas,Community Services,69306.99,900,5a54b43563f30c168f8afa4791a0a93c3c83faae
"CREW CHIEF, WATER FIELD OPS",Ut Water Meters Div,Utility Services,69246.17,901,25045a18861892b3d605eaf461baf4a43a80acef
"SR SPECIALIST, COMMUNICATIONS",Comm. & Public Involvement,Information & Employee Svcs,69167.60,902,938fbb91188063eb9ec9881b62ea50b5b32c9786
MECHANIC,Operation Services,Information & Employee Svcs,69161.32,903,faaf44f470a48cb616309d50313823093dec0cd9
"ANALYST I, FINANCE",PDT Administration,"Planning, Dev & Transportation",69154.10,904,17aa69675d985e6f245f75c344a37d8181a96745
PROJECT MANAGER,Information Technology,Information & Employee Svcs,69145.10,905,acfb32598f3855f64c3a007a3eba7189d42286c3
"LEAD SPC, PROCESS IMPROVEMENT",Budget,Financial Services,69101.76,906,c55e5eef3bcba6852ad4b9e1aafa4a5ed7b9bee2
"SR SUPERVISOR, NEIGHBRHOOD SVC",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",69017.05,907,052c4512efff84713a48e06126b6d318dc8dadf9
COMMUNITY SERVICE OFFICER,Patrol,Police Services,68973.93,908,6214e510bed3cccb9e73e34997f4b713f2c4dc56
"SR TECHNICIAN, CLIENT SERVICES",Information Technology,Information & Employee Svcs,68873.47,909,94e6ba0db977d3511f41c311a81d302c2f64ad87
"LEAD ANALYST, UTILITY RATE",Utility Financial Operations,Utility Services,68819.74,910,5018b0a856fe1af3ffe06d807f6aef9d0290f9bd
"SR COORDINATOR, PAYROLL",Accounting and Treasury,Financial Services,68786.99,911,9145a815fcfc09c1c5ec8673100801fff35b6582
"ANALYST I, APPS SOFTWARE",Information Technology,Information & Employee Svcs,68781.53,912,2a98600ac52007efc0bc5a4c30fab293a2c63951
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,68770.25,913,c997769518d95b8f6ffb9fa1f5562b2c9d6fe895
"ANALYST I, BENEFITS",Human Resources,Information & Employee Svcs,68769.85,914,51d6d103bc1d61fa2181132a8b9fb68958005688
POLICE OFFICER,Patrol,Police Services,68758.10,915,14fe61ffb171c12acdcb8048981ffaecefb6eea1
"SR INSPECTOR, CONSTRUCTION",Engineering,"Planning, Dev & Transportation",68688.76,916,2473dc2e839016bf50ae866ed8a55551381ea12f
CRIME ANALYST,Patrol,Police Services,68663.53,917,3ae1e916e6191bee2d858acdedd36e90cef1be61
POLICE OFFICER,Patrol,Police Services,68652.89,918,85a30f079c5520c1c595ed36fd4d5c11142543c2
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",68577.91,919,93488b005e476f7406a17ccf194a9bfefbde8d58
"MANAGER, ENV SUSTAINABILITY",Environmental Services,Sustainability Services,68535.87,920,03e32609f1137af6f1aa48a13754332299b05695
"ANALYST I, GIS",Ut Distribution System Div,Utility Services,68507.38,921,d0f202ce18c60b2271cac9eb08b056bcad39ca40
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,68454.52,922,702c53ba1d56324fdb6aadee5d4b1a78629669df
"CREW CHIEF, PARKS",Parks,Community Services,68441.85,923,741b1aa05f130f30fa44d1bc2f144ca76fe201d0
FIREFIGHTER I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,68420.43,924,f6a25fce1adffbd82b85228a20a76edc797721d6
PROJECT MANAGER,Utilities Customer Connections,Utility Services,68346.50,925,2b3ceb9e1c3e09b858994f158462fc5f173c5859
MECHANIC,Operation Services,Information & Employee Svcs,68320.32,926,c2d67022a49860ed32d1000262f89618f29d015d
"PLANNER, ENVIRONMENTAL",Natural Areas,Community Services,68242.50,927,1c649fe66eed57f405aa141bbb55dc8870fc3d78
"PLANNER, ENVIRONMENTAL",Natural Areas,Community Services,68239.50,928,16a7ecc13ad5fc32d55c32391f05150b0c79f02c
MECHANIC,Operation Services,Information & Employee Svcs,68194.75,929,83ee1e4772abc2842150cbc6d77c8f045c081350
"SR TECHNICIAN, FACILITIES",Operation Services,Information & Employee Svcs,68193.53,930,f859b42a6367f1d6a431bb8fdfa477728564a8c4
"SR SPECIALIST, ENVIRO SUSTAIN",Environmental Services,Sustainability Services,68115.24,931,4683623bcc8223a349aa4d688a1d40d16410d7d4
POLICE OFFICER,Patrol,Police Services,68109.56,932,f4acf9b56e6a9a1246db8360242b315130e60899
TRANSIT PLANNER,Transfort / Parking Services,"Planning, Dev & Transportation",68066.69,933,22270e530801b3749cab712f9672265ed43c119c
"SUPERVISOR, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",67985.29,934,6721263554ea762976f51aab75392acc5d078510
POLICE OFFICER,Patrol,Police Services,67868.29,935,968230a2412a1da2573a561e051735c048aaae84
COMMUNITY SERVICE OFFICER,Patrol,Police Services,67834.20,936,05199df9d35dbb1e2ff361024fa73190c0b2bdb1
POLICE SERGEANT,Patrol,Police Services,67750.90,937,8ad1cc2cc70d97849cc0a74ec85d2cbd67a9f52c
"REP II, POLICE RECORDS",Police Information Services,Police Services,67742.96,938,6b16b6ff231c1c58963d3bef327f5c98ba1fba27
DEPUTY CITY CLERK,City Clerk's Office,Executive Services,67668.62,939,2f9499f92e1fd3d2a96002cb6454dc7e1e06211b
"OPERATOR I, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",67637.96,940,7e13961dff103549d577dae2f12c0407f5a8cd41
POLICE OFFICER,Patrol,Police Services,67627.04,941,957b274d81b6968f86444554cdd0777570e3b678
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,67621.56,942,4cfdeb71d372363a7381038c3ac2bd96e87d6dea
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,67567.23,943,d8677203a14ee11e750bdd569593d216966b50b9
POLICE OFFICER,Patrol,Police Services,67558.88,944,e9e21a228ac3395cda4ba5f711a330b57f0be115
POLICE OFFICER,Patrol,Police Services,67537.15,945,e0531bd2c7fcf1f439f42eaf648eee147c63711f
"ASST SUPERINTENDENT, PARKS",Parks,Community Services,67493.71,946,1dcd3e39a2995c8588b6afad249f42e6d9535dbb
"LEAD TECHNICIAN, SCIENCES",Ut Wtr Reclama & Biosolids Div,Utility Services,67486.50,947,17392cd24611fff5023588a2f7f8fb18ba5f38b7
"TECHNICIAN II, POLICE RECORDS",Police Information Services,Police Services,67453.91,948,e91b0757f83c4467da10875898f207d8c3b26be1
CODE INSPECTOR,Poudre Fire Authority,Poudre Fire Authority,67425.38,949,3ff56162201765cea7843c7576b76488e88d474a
MUNICIPAL COURT ADMINISTRATOR,Municipal Court,Judicial Services,67351.58,950,a9eb1f210158bfddf9cc1e9d8631fbd33481c9df
"SR TECHNICIAN, CLIENT SERVICES",Information Technology,Information & Employee Svcs,67333.47,951,bd857cc4fece6129b30f091bfbf7fb49c257fc63
POLICE OFFICER,Patrol,Police Services,67228.44,952,9b1ec5e788390d193aabe7ebb5ac14e7747c9f71
CIVIL ENGINEER,Ut Water Systems Engr Div,Utility Services,67157.51,953,8ac4ca23c0cc82a1a2114090c2b4f457fa53d3a6
"ANALYST II, FINANCE",PDT Administration,"Planning, Dev & Transportation",67107.92,954,b9daec26e66533d83b9d5998f8b11b814ab8fe78
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,67007.29,955,682c3fe2a3c98b69a92093c7ff5f0f0ec08347af
"SR INSPECTOR, CONSTRUCTION",Streets,"Planning, Dev & Transportation",66935.97,956,abb44462804486121395cec4558025307dacde9c
"SR SUPERVISOR, PUBLIC ENGAGE",Cultural Services,Community Services,66875.00,957,34394649ba7d2f42025b6b17972bb35a6a3e8484
"SR TECHNICIAN, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,66869.37,958,814e33047c77b0adb1a44be992b3c045eefc78c0
FIREFIGHTER I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,66796.21,959,ccacaf350edc48611853ee54d2b180b1e0d4093b
DISTRICT BUSINESS MANAGER,Poudre Fire Authority,Poudre Fire Authority,66768.85,960,66568c6ee5ce50f9cf4399b2ee78fd1bb4dc50a1
ACCOUNTANT II,Accounting and Treasury,Financial Services,66747.00,961,fbb829551b7c9995d2620975b85637d1aac17174
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",66669.19,962,6ffcb578ed775a815173f2017f1d04f877cd4916
"REP II, POLICE RECORDS",Police Information Services,Police Services,66643.65,963,c4f02dec0955b859d955a446ce5079c7bca5a24a
"SUPERVISOR, ENERGY SERVICES",Operation Services,Information & Employee Svcs,66634.88,964,20cbd20fbb93fa9dcf6ec7ab0e5dba24406e612d
FACILITIES PROJECT MGR-INACTIV,Operation Services,Information & Employee Svcs,66553.60,965,318a50931390db7bdc0ee4920daa861612a4e204
POLICE OFFICER,Patrol,Police Services,66473.28,966,35cdcdac5e4cb68e25cd4360730206cf0d544b4b
"SR SPECIALIST, COMMUNICATIONS",Utilities Customer Connections,Utility Services,66402.73,967,339937ba382f964a2b0864126a86442e379be718
"SR TECHNICIAN, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,66401.98,968,22df1e7ba236c383fcece6c6d09b8273e94e13c4
"SUPERVISOR, CLIENT SERVICES",Information Technology,Information & Employee Svcs,66301.29,969,9876b0ddc443cc9cc38ab8c5899c4b0b39277045
"TECHNICIAN II, MAINTENANCE",Ut Water Production Div,Utility Services,66291.80,970,85389c6a3f1ed0db89f2872018954802e24e80ed
"SR SUPERVISOR, CULTURAL SVCS",Cultural Services,Community Services,66275.91,971,cef6a0d7cf797877f7b85a7435deaadfeedd65ba
"SR SUPERVISOR, CUST SUPPORT",Transfort / Parking Services,"Planning, Dev & Transportation",66262.47,972,56972d0bca5c29e61ac9fb9702c0c8572fa6b643
"CREW CHIEF, ELECTRIC DIST",Electric Field Services,Utility Services,66174.56,973,49c4a2548ec983a4dedf24f81820151f49884632
"SR SUPERVISOR, RECREATION",Recreation,Community Services,66080.09,974,f491491dcab4a3aeffde73e5833b5b6b6d13706b
"CREW CHIEF, PARKS",Natural Areas,Community Services,66058.96,975,a98ca8427b6cf0b2b81a9006ebc936fd028156d4
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",65976.65,976,c58fb63c1386cf826b7e6ded77b2f69051223cb2
ELECTRIC SYSTEMS OPERATOR,Ut Smart Grid & System Ops Div,Utility Services,65931.22,977,bbaaaa39380feb2dd5d485768254a01fa57e7123
EXECUTIVE ADMIN ASSISTANT,City Attorney's Office,Legal Services,65921.34,978,8dcbdba2e0d4a34662e08d4dbd4258a430bea528
PLANS EXAMINER,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",65860.49,979,6810539e553ff7c8783cb92df4b81df2fb2a57f6
"TECHNICIAN II, POLICE RECORDS",Police Information Services,Police Services,65793.83,980,a5d0dc8ec12e61afb63e838f007059d1be2a83a5
CRIMINALIST,Investigations,Police Services,65774.98,981,5e8ebfb4ac73da78606fa11162c0860747f23296
ACCOUNTANT II,Accounting and Treasury,Financial Services,65740.28,982,87d3c6055a05485d8a38ad7c50f3c1728bac9d4d
"TECHNICIAN II, WATER ENGR",Ut Distribution System Div,Utility Services,65721.11,983,f250fd618ed236bb9d3ee3941d75ae18e1106d07
VICTIM ADVOCATE,Investigations,Police Services,65714.22,984,8c43a6fb65a28b8ae14eb5e04eb5cd962f1cbb8f
"ANALYST II, FINANCE",Utility Financial Operations,Utility Services,65712.95,985,8a7bef6dcdd64a4a58dc9fb4aa758ef6fe051b45
"SR INSPECTOR, CONSTRUCTION",Streets,"Planning, Dev & Transportation",65623.83,986,4957d5529c9ce2401f73c2025039c3e5cd6b0b1c
PLANT OPERATOR,Ut Water Production Div,Utility Services,65594.02,987,298bdd1f8d551acb3b5ca353b3e49baad09946fa
EXECUTIVE ADMINISTRATIVE ASST,Poudre Fire Authority,Poudre Fire Authority,65584.60,988,db0740126b65034d399511edd0bed25cddecb700
NATURAL AREAS TRAILS RANGER,Natural Areas,Community Services,65582.15,989,7104247b49b421368c526a9e5dd6a25b46e90a52
LIBRARIAN -CHILDREN'S SERVICES,Library District,Library District,65519.52,990,9eb46f43a4792043de5a06e333205c25cfe4ca0e
"CREW CHIEF, PARKS",Parks,Community Services,65496.97,991,211a78d5347ed4d35817427b3ce64a7236081f7f
NATURAL AREAS TRAILS RANGER,Natural Areas,Community Services,65090.15,992,1a8840940e46e9a2abcaad01bf100390660be636
"SR SUPERVISOR, ADMINISTRATION",Transfort / Parking Services,"Planning, Dev & Transportation",65033.49,993,e671c3ee8144e8ccb47c8c4aa811d7478f9f0541
"LEAD TECH, GRAPHIC DESIGN",Comm. & Public Involvement,Information & Employee Svcs,64956.52,994,367e50ba632bd8a9a410ed9a71d83b3174478163
"OPERATOR II, TRANSPORTATION OP",Traffic,"Planning, Dev & Transportation",64826.71,995,098ec305020daf983eb085c08cfb1c637040fde8
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,64780.38,996,9e215894a34804c3424586fd08c94ad9b0c8f075
"TECHNICIAN II, POLICE RECORDS",Police Information Services,Police Services,64738.61,997,a4ea1b7c7c8eec87ddddd628944a0af5c8392b01
"SUPERVISOR, FACILITIES",Transfort / Parking Services,"Planning, Dev & Transportation",64718.85,998,b1f236e81ce46d10174f83d58d1c9e60c4794003
MECHANIC,Operation Services,Information & Employee Svcs,64712.78,999,e8ac7422f69055ee2d7c0dd3d5cd21c00ec25efb
INVESTIGATIVE AIDE,Investigations,Police Services,64641.23,1000,e4abec3e45ac73bbe1d59fe1cf3e22d36b2c8ea0
MECHANIC,Operation Services,Information & Employee Svcs,64529.72,1001,d8e15e483e7832564be0a4dd661e0e11d6cdf7ef
"SR SUPERVISOR, PARKS-INACTIVE",Parks,Community Services,64518.55,1002,5d1fa34209e7ac1fb3594be074c4571b6aebdff0
"LEAD TECHNICIAN, SCIENCES",Ut Wtr Reclama & Biosolids Div,Utility Services,64499.60,1003,bc492618173f5564d2d2039dd637f8bfaf64b8fa
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",64301.29,1004,11cef8abe5899ce44f877ce57950734c5fda193b
MECHANIC,Operation Services,Information & Employee Svcs,64300.90,1005,2a49d7e3bbccc21f44c70ac5a95b2752c550804d
"SR TECHNICIAN, CLIENT SERVICES",Information Technology,Information & Employee Svcs,64267.90,1006,3833b1325480643c3512eee0dd8bf25fe283e17a
"LEAD SPECIALIST, MARKETING",Recreation,Community Services,64232.18,1007,0ffa64e7ba6e3883312447d50f1427173db45eb9
PLANS EXAMINER,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",64216.20,1008,3325983e5ab8c377a04ed141cc0144623ad89da9
"SR ANALYST, TREASURY",Accounting and Treasury,Financial Services,64149.58,1009,fbfe76d7dc4001ae8e4ade24415c0754ce7e4c6c
"SR INSPECTOR, CONSTRUCTION",Engineering,"Planning, Dev & Transportation",64104.88,1010,69c242f9db94c82da93642ecd1e10f426ca5b5ef
EMERGENCY MANAGEMENT SPEC,Poudre Fire Authority,Poudre Fire Authority,64085.73,1011,2e235b6299ac427c31bb59532165cc3ff89a9651
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",64063.46,1012,0852483b6b9581369bce8959be07be95519e73b3
"SR SUPERVISOR, ELEC DIS HI VLT",Electric Field Services,Utility Services,64060.21,1013,21bda2869587aa567a27124a57403e4aeda14173
"SPECIALIST, WELLNESS",Human Resources,Information & Employee Svcs,63995.85,1014,63883afda9c8c1f80eba08118e788ef7592bea1b
NATURAL AREAS TRAILS RANGER,Natural Areas,Community Services,63976.76,1015,bf7ee69796473e606df0ccde0b2c6d68eca249c3
"SR SPECIALIST, SOCIAL SUSTAIN",Social Sustainability,Sustainability Services,63971.40,1016,6b2f580fcf1baf33946582c2568d9f11f9c4fbe3
INVESTIGATIVE AIDE,Investigations,Police Services,63936.68,1017,aa660a6c4f94f1cf4f945228c4193d88e0107b0c
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,63832.94,1018,fac39a9fb1b96189548e0e981cb6d3c94a1ba57a
BUYER II,Purchasing,Financial Services,63827.25,1019,805c477f45b894cd438d10f4c048da65d2d1ae2a
"SR SPECIALIST, PUBLIC ENGAGE",Human Resources,Information & Employee Svcs,63808.43,1020,99f25011389881506df8879d2a2a305159fd3cb5
WEB APPLICATIONS DEVELOPER,Library District,Library District,63792.56,1021,3e9b627ee143b92c5dd9da0e2b1a356221cd3ac8
IT SUPPORT SPECIALIST,Poudre Fire Authority,Poudre Fire Authority,63781.60,1022,dfb0452eaca293bf89bab3c59ee0a4a14cce68c9
LIBRARIAN-COLLECTN DEV ADULT,Library District,Library District,63748.36,1023,1b0d5a5c73d5638a3b3e21fc2e5eeb8f9ca56815
NATURAL AREAS TRAILS RANGER,Natural Areas,Community Services,63728.82,1024,13fae1f5ff81f52673fc131727b647aed8c3b6a3
MECHANIC,Operation Services,Information & Employee Svcs,63660.17,1025,2f58cf23c8ef17e2d3e6fb715bda71b4e63b14d3
"SR TECHNICIAN, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,63516.85,1026,46156c2fef0c41fdcb61d1c384194fc2a23e1fb4
"SR LOCATOR, ELEC DIST FIELD OP",Electric Field Services,Utility Services,63482.86,1027,8163612353dbbdfd57111e6809f1499814c09040
WATER UTILITY MAINT OPERATOR,Ut Collection System Div,Utility Services,63390.63,1028,bacdc5d09061a4ebe49d4c71c2a2cca7b2ec9c24
"SR SPECIALIST, ENVIRO SUSTAIN",Environmental Services,Sustainability Services,63323.00,1029,b54bb88e1286a72481291dedeb7058e981e9e776
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,63250.38,1030,fbdbc1ccb76bf6f9dce728401a371451475fb1a0
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",63230.53,1031,bb6f352ff335e03bebb0d70881d1db2fcc51b0f0
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,63230.27,1032,ac0f21ac50700d8fd3ca551475fc3704fba5ed36
SR PROJECT MANAGER,Utilities Customer Connections,Utility Services,63169.83,1033,65fc76808b5c176a41f3188ed7dfc690dc674328
LIBRARIAN - EARLY LITERACY,Library District,Library District,63164.80,1034,c2761b41e2d27514d6d79a457fee242d79caa132
"CREW CHIEF, FORESTRY",Parks,Community Services,63154.59,1035,f0bcdb4da2fa65092395143ecce6423207aaacce
"SR INSPECTOR, CONSTRUCTION",Ut Enviro Regulatory Affairs,Utility Services,63138.87,1036,f75db5fddfcaf4ceb89c158cae6abeeb31b68423
INVESTIGATIVE AIDE,Investigations,Police Services,63088.59,1037,d65d51ce35fe8f318a4061a0e373241489523997
WATER UTILITY MAINT OPERATOR,Ut Drainage System Div,Utility Services,63026.31,1038,2f5bbc15c10dcd0ffffe6f9b542b6355a9e845cf
MECHANIC,Operation Services,Information & Employee Svcs,62992.78,1039,a4b12fd17a32fb916ca3211174e2a3763a09714c
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,62939.49,1040,8decad9b1bb201335a11f743c2783519d0976c6d
"ASST SUPERINTENDENT, PARKS",Parks,Community Services,62894.95,1041,86a80c765ac72d0f3d28e5146fb9e4425c50e588
"CREW CHIEF, FORESTRY",Parks,Community Services,62863.59,1042,c1da57d1b492e498091ebe4da01060a476017359
"ANALYST I, FINANCE",PDT Administration,"Planning, Dev & Transportation",62858.45,1043,e872fe8f1a28168b13fcf16aec036027454cea48
"TECH II, PROCESSING SUPPORT",Police Information Services,Police Services,62780.58,1044,395f0d254dcaec8cd73fca2e4de7204c6493869a
"SR SUPERVISOR, RECREATION",Recreation,Community Services,62749.86,1045,20be8d3e4a3bc5e919791859570be173df7df092
PROJECT MANAGER,City Manager's Office,Executive Services,62748.93,1046,0b8cdf8a741aff7660f10785da015db7089a8cf9
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,62733.03,1047,9054e74b50d110b51ae10ce370e46ae0492afad3
MECHANIC,Operation Services,Information & Employee Svcs,62727.36,1048,ba37d77bb0f2a9a00e84fbb260a15b50f7fe8dc5
MECHANIC,Operation Services,Information & Employee Svcs,62711.96,1049,778cdacb3a8c154352f152e9c727bd6e7ce332b5
INVESTIGATIVE AIDE,Investigations,Police Services,62708.60,1050,0212b59ec00eb14174a95b8ab180c4844946f4ee
LEAD PARK RANGER,Parks,Community Services,62695.79,1051,3614b61034a6e1b3ecf326521c7bfe6371deeb66
"TECHNICIAN I, WATER FIELD UTIL",Ut Wtr Reclama & Biosolids Div,Utility Services,62651.87,1052,40716a73f04aadb34c0e874735f878de4299283a
"SR SUPERVISOR, CUST SUPPORT",Utilities Customer Connections,Utility Services,62648.90,1053,46c3196eed83620c432cb588e9d3cfdd0e34ef29
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",62618.05,1054,1a6034e865f1d3c87028fe0d8561b0bbbacefc15
"TECHNICIAN II, MAINTENANCE",Ut Water Production Div,Utility Services,62454.65,1055,52bddcbe53f8455a63948b0895852b1d29cdeb38
"SUPERVISOR, FACILITIES",Operation Services,Information & Employee Svcs,62422.21,1056,028ffa794c1d44847e63dc22537038a38ba41367
"SR COORDINATOR, RECREATION",Recreation,Community Services,62399.01,1057,226d116bc351b7e03dd9fecb1f4707fe73a4a88c
TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,62336.96,1058,1c22819dc5b5fc61ae1bee71271e0fd5268181a9
MECHANIC,Operation Services,Information & Employee Svcs,62321.84,1059,d316000f849e597c0ccd848065267c9f81891a0c
ELECTRICIAN,Operation Services,Information & Employee Svcs,62210.22,1060,cd7f8932eed472e01cb1f68adf91f65e14615988
"SR COORDINATOR, CULTURAL SVCS",Cultural Services,Community Services,62141.95,1061,53b164e41869510870d912a11101c640df819d7b
WATER UTILITY MAINT OPERATOR,Ut Drainage System Div,Utility Services,62130.40,1062,4354741d2c61f3d1ca3ecf03408504b30f9456d8
"LEAD SPECIALIST, SAFETY","Safety, Security, & Risk Mgmt.",Financial Services,62126.69,1063,7fcdf85e02c40191e18512bd5a7322ecd12c3dbd
LIBRARIAN - TEEN SERVICES,Library District,Library District,62055.78,1064,ca2f3b998e07581e5575d8f327a430dd83da0e47
ASSISTANT CITY ATTORNEY I,City Attorney's Office,Legal Services,62024.19,1065,23250fd7bbb792cf0c54ed000581f30a54fcb6eb
TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,62013.06,1066,ddfb99417d41760ca1773401f3e238e33cd9ad72
"ANALYST I, BENEFITS",Human Resources,Information & Employee Svcs,61949.23,1067,e02da4a4a3f353461db3d9a985b2f0b6ebb889c6
"CREW CHIEF, FACILITIES",Electric Field Services,Utility Services,61925.70,1068,80187cee030fe8440b298473134ff762c5a1b18f
"SR SPECIALIST, ECON SUSTAIN",Economic Health Office,Sustainability Services,61903.82,1069,5278150d3faf476ab234905b90d6cb8201fa3f5e
LEAD PARK RANGER,Parks,Community Services,61757.85,1070,38741cdc4729b70df98805871052e9a27901107a
ELECTRICIAN,Operation Services,Information & Employee Svcs,61666.74,1071,b55bdea96ae9c1698de3c9b352f0837c17877a02
TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,61598.37,1072,92b0bb2a835ee570c2230e286062d4584f3ba9a3
PLANT OPERATOR,Ut Wtr Reclama & Biosolids Div,Utility Services,61590.94,1073,14184bf77ae4184d723acb2849b7f132902eebf5
CHEMIST,Ut Water Production Div,Utility Services,61590.17,1074,fe7e34abb8439518f768c0eafce7a219a14a78f4
"SR PLANNER, CITY",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",61553.40,1075,8e3859ded1188beb0b1ae20bac84cbf86fd31c2e
"PLANNER, CITY",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",61524.69,1076,868e20684bfc5259abdfc1e079a1b0b189bbf250
"CREW CHIEF, ELECTRIC DIST",Ut Smart Grid & System Ops Div,Utility Services,61457.12,1077,dda148d11db52926dd1c61bf8340422fdc750008
"TECHNICIAN II, FORESTRY",Parks,Community Services,61404.71,1078,2e3fe317c0bb91088dfa3dd196747531b15a8bfd
WATER CONSERVATION SPECIALIST,Utilities Customer Connections,Utility Services,61348.00,1079,f918e2e44e1ebb849793dfd089611632ec457114
"TECHNICIAN II, ENERGY SERVICES",Operation Services,Information & Employee Svcs,61294.93,1080,dca64c6c37ce9787fa16c79d9170c514baadf0a3
"CREW CHIEF, PARKS",Parks,Community Services,61264.08,1081,95f7ae39c017bc2488b32a928cb488b28f904bc7
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,61105.68,1082,bd0bd91bce8937d345d58df834d5084b583448c1
"SPECIALIST, PUBLIC ENGAGEMENT",Utilities Customer Connections,Utility Services,61062.54,1083,d4ff62098ba3db79616fa6947372e68205d8bcb5
"REP II, POLICE RECORDS",Police Information Services,Police Services,61053.42,1084,6b1ef55985994228356cfe9f1b77c6107fc9bb60
"SUPERVISOR, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",61048.13,1085,da09155be6b4254944619c55da6d8d4567ccfc2c
"SUPERVISOR, ENFORCEMENT",Transfort / Parking Services,"Planning, Dev & Transportation",60982.76,1086,317235a0666b41f1e96ffdeeff931e393a78ef95
