Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
POLICE LIEUTENANT,Investigations,Police Services,133795.05,46,e4a52d8cacfead19500902bc4fb88be0e1c978d9
LIBRARY DIRECTOR,Library District,Library District,133750.00,47,fdf4dd1b7e85a83ba1617452099a2d22e9448bcf
POLICE SERGEANT,Investigations,Police Services,133618.17,48,55c0d761eb7b3cae2cf5264dcb268c0091a22924
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,133347.11,49,e7a268b206d33f8c79605c76d7d7983f14ce033b
SR ASSISTANT CITY ATTORNEY,City Attorney's Office,Legal Services,132691.85,50,15cd41bdc2d57e49a2748348008ad8df960f3b0f
POLICE LIEUTENANT,Patrol,Police Services,132296.06,51,7dece6d3cf8913914f863c728bd8442539e3555f
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,132167.42,52,a391a32ec1867d6e29d1a15e5fd7b4ec719000b8
POLICE LIEUTENANT,Patrol,Police Services,131927.81,53,e93b54284f5723b0bcc8e6989ff12e5c0a17d5d6
BATTALION CHIEF II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,131623.76,54,e879971c2a72bf5d7901aa6589882b7d702834fb
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,131030.09,55,723ee451b9d55a071a3b79b4ecb49c28ad35165c
POLICE SERGEANT,Investigations,Police Services,131023.09,56,a3d386f6747fcec6fe0d4dcf797eabc870c2201f
POLICE LIEUTENANT,Police Administration,Police Services,130884.06,57,c84ae76d0166e5f707c5b16ecf7a886800c7579a
POLICE LIEUTENANT,Patrol,Police Services,130846.56,58,76ecd48c35c36200683feeccea943779c2050724
BATTALION CHIEF II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,129808.00,59,6255a38d77f4fca43904ce2e2183359da78a2719
BATTALION CHIEF II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,129472.00,60,c0ec7e576d2295c21388917f7093d4b263ba7e29
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,128910.51,61,57a0f61525a8eb75901d2b311bff8b1797127ecb
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,128764.52,62,d5dafb491318899e43ff4925a15fa0ac8f2235f2
"DIRECTOR, FACILITIES & FLEET",Operation Services,Information & Employee Svcs,127785.53,63,5b02fe5acbdfd7b1abafae174e0f0a18b49fa2e5
EXECUTIVE DIRECTOR DDA,Downtown Development Authority,Downtown Development Authority,127425.98,64,04286e7c6ded8eca08976eb1fbfdce144b4016ec
POLICE SERGEANT,Police Administration,Police Services,127048.30,65,5f36c996807547e453604c70b3de922fe974c461
"DIRECTOR, FP&A",Utility Financial Operations,Utility Services,127045.02,66,15700db82b4577cb724c404c6bdc35d5621a24e8
"SR MANAGER, ELEC ENGINEERING",Ut Elec System Design & IT Div,Utility Services,126821.27,67,7d9d26a8ed0ff0ca770ee20ab5f7a396e67c5fe5
TRAINING CAPTAIN - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,126425.47,68,b2ee90a0b1ceb3d01adfe8868afa01ae2d59a318
POLICE CORPORAL,Patrol,Police Services,125800.59,69,2d7e07709037792ec55991fad3923ff368982144
"DEPUTY DIRECTOR, UTILITIES",Utilities Customer Connections,Utility Services,124857.31,70,ec51703ab210b8414726fd2a708b92bd37433693
POLICE SERGEANT,Investigations,Police Services,124770.28,71,472cab2ce3499c10dc13746e8708349d7bc8d003
POLICE CORPORAL,Patrol,Police Services,124766.69,72,0596af1bd9afe190d19193caf3b89e12d1a05666
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,124592.69,73,d709599b37a2f783331ff8ae2ad243eb22cc1c0d
POLICE SERGEANT,Police Administration,Police Services,124169.80,74,b9c41481509ca93139f5fd307df55596579447f6
"DEPUTY DIRECTOR, UTILITIES",Ut Water Production Div,Utility Services,124139.48,75,da9b09f27dcef5a9f5ffae06990135a284260cfd
POLICE OFFICER,Patrol,Police Services,123171.00,76,e162b9d375bd3f28a805eaf8c49ad4fa78026d2f
POLICE SERGEANT,Community and Special Services,Police Services,122896.06,77,c9364a0e7812b7422c41e812cfc5597d96ed4a65
"ARCHITECT, IT SECURITY",Information Technology,Information & Employee Svcs,122860.79,78,c5b0e8f6f10e8ec6d86aa7ac2e08cc21ed3298ea
"SR MANAGER, TECHNOLOGY",Information Technology,Information & Employee Svcs,122490.00,79,2c3d981271d42cf6c8626c790fdda4501cbae75a
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,122423.82,80,1e1b37333ecf8df1d1c87d00c820269b52261377
POLICE SERGEANT,Patrol,Police Services,122330.49,81,d4d6abb041a60ee29d446cf6d1422dfd77b206e3
POLICE OFFICER,Patrol,Police Services,122286.59,82,99530538b6223208008075ff6962d5adfe87a29a
POLICE SERGEANT,Patrol,Police Services,122197.01,83,9bfacee52340aea5bd75bae09c1583348dc02b0c
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,122120.63,84,4ff86e97efc3dcebd63b7380273deaffee30e52e
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,121908.67,85,373e8afbc8345e7edfdc94d57dced5db47bf0d90
"DEPUTY DIRECTOR, PDT",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",121463.44,86,39995e4e50e65fc04ceff46eba511ea444b44824
"DIRECTOR, HUMAN RESOURCES",Human Resources,Information & Employee Svcs,121379.42,87,7c5b849a6c2e5d666f303c0a35ce9f9ac69c6f7b
"SR MANAGER, ELEC ENGINEERING",Ut Standards Engineering Div,Utility Services,121129.71,88,206f486638ccc50afe17b2c8a46c407c7fd7773f
