Job Title,Department,Earnings,meta_row_index,meta_row_id
YOUTH INSTRUCTOR,RECREATION,10875.80,1794,78dd0a8f4516719ab466af843c917999a5a54f80
UTILITY WORKER/ PARKS,PARKS,10828.60,1795,6fffbc4cde9b7c495e53f99ff7625efe11e53290
EQUIPMENT OPERATOR/ CEMETERY,PARKS,10800.50,1796,6436de9d9830a071385be2df4d182ac3393a5c8e
AQUATIC MANAGER,RECREATION,909.95,2704,20e41d0cd7149a78e0a56a545900db2de74431c7
BUILDING & DEV. REVIEW TECH.,COMM DEV & NEIGHBORHOOD SVCS,10783.07,1797,7a8f345aa105532a29dc8529eb55a13acfa4cbfc
LIBRARY AIDE,LIBRARY DISTRICT,10781.55,1798,18e03994087537e0db1649012d393896174f656c
FIGURE AND FREESTYLE COACH,RECREATION,10762.50,1799,e562b73810fd83122d5af94b724178df146c7549
YTH SPRTS CERT TACKLE FB COACH,RECREATION,10752.00,1800,7f7b008e4bbce8ad87b5c4b5a0f526c16a8b37db
DEPUTY COURT CLERK I,MUNICIPAL COURT,10723.89,1801,2517a790595f0d5e82c0e057ea36d62812ff768c
MARKETING COORDINATOR,DOWNTOWN DEVELOPMENT AUTHORITY,10704.54,1802,0f0604743d259ab6c90cf10134845b070c60a7d9
SUBSTITUTE LIBRARIAN,LIBRARY DISTRICT,10699.77,1803,29df59bfd55cf9d0a33e80ff8574484ff0b71096
FACILITY/EVENT SUPERVISOR,RECREATION,10683.52,1804,9a05eb66d4804cf9e3ac0b7994fb5edd5c73e2f8
ADULT SPORTS OFFICIAL/ VB,RECREATION,10657.50,1805,6b879092bdcfd50f84751d32bd68a09fcb797e12
LIBRARY AIDE,LIBRARY DISTRICT,10655.19,1806,7e82579e80ec7b5f9df3639fbf1b315b955f1734
FACILITY ATTENDANT,RECREATION,10612.35,1807,2eb6707c0c47553ebe6e49c42457dc9ad012b07f
FACILTY ATTNDT-PRIMROSE STUDIO,NATURAL AREAS,10590.00,1808,a67351595f5b7d3beae21866bc99d12f0ae63ef3
BUS OPERATOR,TRANSFORT / DIAL-A-RIDE,10580.63,1809,e00c88b7a0cb8f077fceed6637032dd8f501fbca
UTILITY WORKER/ PARKS,PARKS,10574.17,1810,16173eb9a206749141fca92968eab38d03ab8aa8
CLERICAL AIDE,FINANCE,10548.50,1811,b32a44955e8e86c9d99c7fe28140489e52e8037a
UTILITY WORKER/ PARKS,PARKS,10484.78,1812,a23a1af1fe5848e63d761c7633824cd15681e583
FUNDRAISING COORDINATOR,PARKS,10470.00,1813,c49fa5bb8e18cfd41d5e86fea79d2408dc1f5aab
FIGURE AND FREESTYLE COACH,RECREATION,10465.20,1814,a5568c3d280216646f86ef664e16543788213ce6
WATER SUPPLY OPERATOR,UT WATER PRODUCTION DIV,10455.00,1815,14399b6046d6239c1aef737e518d807d10147742
ENVIRONMENTAL REG. TECH.,UT REG & GOVT AFFAIRS DIV,10430.00,1816,e99c16ccf5f2b8adac369fe77bffbc0496f04d57
EQUIPMENT OPERATOR/ GOLF,PARKS,10425.00,1817,67a4200c14635d960411b7b35da4efbaa8206053
ADMINISTRATIVE ASSISTANT,OFFICE OF THE CHIEF,10409.62,1818,2b45badb7ff20fa86bd705567b50ea6e9588a14c
SKATE INSTRUCTOR/GROUP,RECREATION,10393.20,1819,2b4a9083f0e7eb30b515aa648ea9b674f95e4661
EQUIPMENT OPERATOR/ PARKS,PARKS,10363.00,1820,a8a57e323d5bc712a792471e25132f2cadec854f
YOUTH SPORTS OFFICIAL,RECREATION,10359.75,1821,03961cb28e7ac1d9ea8306ea2512b5c59378170a
EQUIPMENT OPERATOR/ GOLF,PARKS,10344.00,1822,c4469528d8e272deea6090cfdaa16bff52796ee4
FACILITY ATTENDANT,RECREATION,10313.12,1823,ba2e835694f9e10dbd334cd57ccd00f7eb0c5e91
SPECIALIZED EQUIP OPERATOR I,STREETS,10229.11,1824,cfb12cc8b21d676bc5ca424bcda1bf16365611e3
TRANSPORTATION PLANNER,ADVANCE PLANNING,10187.70,1825,d1cfcad44e9bb288130f1804658e07d3de0c79e5
FIGURE AND FREESTYLE COACH,RECREATION,10175.79,1826,9ee413500f6f8df25199f4cffb1ee5430a6c79f1
ADMINISTRATIVE ASSISTANT,STREETS,10174.41,1827,ff6b8d07e5826a82cd49fde84414706f6f1c86b1
LIFEGUARD/INSTRUCTOR,RECREATION,10152.36,1828,142bb75befaaba13db4df83c7bebd00a1bd3e6a2
PARKING ATTENDANT,PARKING,10139.41,1829,b54a6b119ac91a472021d2213130c892be05caef
EMERGENCY SERVICES DISPATCHER,POLICE INFORMATION SERVICES,10133.48,1830,9ef0cbb19cccb025a9ecbfb2a9c0c835316ca662
MAINTENANCE HELPER,NATURAL AREAS,10079.42,1831,9379267dc445c147bd1b45629edb2245c5fc3f9a
CLERICAL AIDE,CULTURAL SERVICES,10068.20,1832,66049e54931f2304e6dc92fdc6d8f27b1ad9893a
FIRE TECH. AIDE,NATURAL AREAS,10047.20,1833,6a77bb3fd15faaa34bfc3cb1e7e7af90bc58faf4
DISPATCHER/SCHEDULER,UT ELECTRIC SYSTEMS ENG DIV,9962.46,1834,3afb477a614e48accfab824382fbdf6994d48756
LIBRARY AIDE,LIBRARY DISTRICT,9958.64,1835,584be223d6061d8cc3aa58ec15a9dcb424863f2c
CITY PLANNER,COMM DEV & NEIGHBORHOOD SVCS,9944.30,1836,3456cccefe00a2b290e3dd1aa5e8823732e3bf78
CLERICAL AIDE,RECREATION,9934.79,1837,7e35fdfee122ce708798b250d597c6464f05586c
WATER SUPPLY OPERATOR,UT WATER PRODUCTION DIV,9912.50,1838,55ec3520a33f8c348239b9e8b7a9230fd257a3f8
FLAGGER,STREETS,9906.00,1839,55d75396fd621caf99c87280b01898c510e2ecc3
WATER SVCS SAFETY & TRNG SUPV,UTILITIES MANAGEMENT,9900.00,1840,fd198f367a4c9597d1dab8f250938361b93e04f4
LIBRARY AIDE,LIBRARY DISTRICT,9891.05,1841,d2ebd7e51b61074f7a1f50cd8ca79fde06653ab1
EQUIPMENT OPERATOR/ GOLF,PARKS,9857.50,1842,4f175624792698fcbcc961f638b844281be1aa85
SWIM INSTRUCTOR/PRIVATE,RECREATION,9826.04,1843,1457ad8c2a9ef5a7e5f975834f71cbf0a24d744f
UTILITY WORKER/ PARKS,PARKS,9789.85,1844,ba65df41463075e535cef9491d179b30aaefe7a3
PROGRAM COORDINATOR,RECREATION,9779.80,1845,f0284843db74ce9a9b750bf82b315eff95d79735
LIBRARY AIDE,LIBRARY DISTRICT,9712.91,1846,4a04f75d6cc782b0c995e706537ae30882b428db
UTILITY WORKER- STRTS/TRAFFIC,STREETS,9669.00,1847,e7b08dc84716e1f559a5e96034f965c91c1704a4
EQUIPMENT OPERATOR/ CEMETERY,PARKS,9598.00,1848,18d5f1fe8ec1d4b365343c09c8fad27c25eea0c4
EQUIPMENT OPERATOR/ PARKS,PARKS,9576.22,1849,03f7931d80443dec00eaa3488386b616882f5d2d
PARKING ATTENDANT,PARKING,9525.13,1850,dac4792755a20b4dce0d72b7d80be8c98b2eda46
UTILITY WORKER- STRTS/TRAFFIC,STREETS,9471.54,1851,643d21201337ad8774e05e1100be29da2909af37
FIRE SAFETY INSPECTOR,POUDRE FIRE AUTHORITY,9463.24,1852,24d48b23cf6009bef1a7268f482115c9840f3fb6
CLERICAL AIDE,RECREATION,9451.02,1853,ff18dda6dd63503b2d0ac088500238d417b85507
EQUIPMENT OPERATOR/ PARKS,PARKS,9429.79,1854,012b3d873fe6bab5f654bf4cd88e7451bc433b7a
PROGRAM COORDINATOR,RECREATION,9357.00,1855,e3e33d642a84a4f3b52a5dc8b4bf08368e5825d9
LIBRARY AIDE,LIBRARY DISTRICT,9337.97,1856,b3c9885f921645ae0d82c5f06b85646e31016c45
PROGRAM COORDINATOR,RECREATION,9336.00,1857,35a0d15a945608ec9bc00fd97f51b18d820391e0
FACILITY/EVENT SUPERVISOR,CULTURAL SERVICES,9306.70,1858,ac63e10f3badec89cb3c6e3ff8c120f6613fd56a
POTTERY COORDINATOR,RECREATION,9293.75,1859,fab7e1bb1ea46316a0a8e35e5c75fba7c6084e5c
CLERICAL AIDE,CULTURAL SERVICES,9249.60,1860,15c8f00ffc88cf57be2a220a0cc671e89122d120
LIBRARY AIDE,LIBRARY DISTRICT,9246.25,1861,406ca2fcfc40b7561d022191a7ddaaff32ada67b
UTILITY WORKER/ PARKS,PARKS,9198.73,1862,608a18c5bd86e2eabf7a755589d62cbf1b5f55cc
