Job Title,Department,Earnings,meta_row_index,meta_row_id
CITY MANAGER,CITY MANAGER'S OFFICE,250258.42,0,e5cb75dd364dc8c672d19930431910ceb2ca8bdf
DEPUTY CITY MANAGER,CITY MANAGER'S OFFICE,213672.78,1,bec6b6c9e96cd8aa706c790de3a7f5ee234137f0
CHIEF OF POLICE,OFFICE OF THE CHIEF,163820.95,2,e639ba13fa92f1d3545ba60751c89bd5ac2bf037
CHIEF FINANCIAL OFFICER,FINANCE ADMINISTRATION,157054.88,3,62ec885c3f9c0fbd3adcaed4b3eff71d42846bde
ASSISTANT CITY MANAGER,CITY MANAGER'S OFFICE,155628.64,4,5a2000a3e186743a5f3c15626eb6e407cf85c4a7
ASSISTANT CITY MANAGER,SUSTAINABILITY SERVICES ADMIN,153476.62,5,5d86a65f383db4bc44a54464cd5e14ecee4589c7
POLICE DEPUTY CHIEF,OFFICE OF THE CHIEF,147952.80,6,4676bd6ca898ed5547aaabbf9fb79e34751918eb
DEPUTY CITY ATTORNEY,CITY ATTORNEY'S OFFICE,146182.28,7,eaf7603612b227218ccc021f5f793c2a0eb2ab9b
ADMINISTRATIVE FIRE CHIEF,POUDRE FIRE AUTHORITY,143784.19,8,7d47b826608bda6b1e2d967295beb08415dcf8d0
ASSISTANT CITY MANAGER,CITY MANAGER'S OFFICE,141884.89,9,2e561f109bde704d63623208d28f0d0610ac62fa
DIRECTOR OF COMMUNITY SERVICES,COMMUNITY SERVICES ADMIN,139570.00,10,92fe200af5533f1ada7cf62afb6e86fa6dfc8002
DIRECTOR OF PDT,PDT ADMINISTRATION,136118.31,11,8fc1be6b4af2b95b553f9895553b925bd78f60a1
SR ELECTRIC SYSTEMS OPERATOR,UT ELEC SYSTEM DESIGN & IT DIV,133089.86,12,6956c79568ece748c88dd07c751eb5fc355f6718
WATER ENG FIELD OPERATIONS MGR,UT WATER SYSTEMS ENGR DIV,128979.30,13,ce260959f2761af793180f76d477a34ebd0d12da
LIGHT AND POWER OPERATIONS MGR,L&P OPERATIONS SERVICE UNIT,128971.34,14,3df2009e2ed692de117825667483a2032f6faec7
CHIEF INFORMATION OFFICER,INFORMATION TECHNOLOGY,127496.83,15,1f2ad26b31a936509cc48cebfd9a78f127fbb79a
POLICE DEPUTY CHIEF,INVESTIGATIONS,126257.75,16,d9735afea46347d3035ac4f1ca5f375986036e8f
POLICE DEPUTY CHIEF,PATROL,126182.75,17,aeb4fb534c6884b1586777c722cd4376f2ea5171
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,126172.74,18,e176c9283a62cb1a5ece4d95a4029663a6d950ec
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,125143.18,19,c2ddf8ecd97f89dfbdba36200c7400d6914fbde2
POLICE SERGEANT,PATROL,123759.29,20,9a11aed6729155c6af302ce9c6191a7f220d0577
UTILITIES EXECUTIVE DIRECTOR,UTILITIES MANAGEMENT,123487.81,21,94549fbd0d3a8e1f4b8a3a7de6f2853c5d2a03fc
SR ASSISTANT ATTORNEY,CITY ATTORNEY'S OFFICE,123265.06,22,d014aa50c62f8ab6d22cd3bad1277cfe133720af
POLICE DEPUTY CHIEF,POLICE INFORMATION SERVICES,122472.77,23,8bbccb020ca8ec9aa27c5ffbaa41de9bbbb67a45
POLICE SERGEANT,PATROL,122137.29,24,262e7fe4fa052cc5453a33669d9aede7ca2060ad
DIR OF INFRASTRUCTURE SERVICES,ENGINEERING,121768.20,25,cb23c19dcb40f7c54f08ed047f28e9617aa248a7
DEPUTY CITY ATTORNEY,CITY ATTORNEY'S OFFICE,121250.17,26,00148a50a0bd4d21a592c0e22b4d7e0a6fabe7e7
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,120444.36,27,22fda43f1b16787ccd056582261f07e936b511e4
SUPERVISORY CREW CHIEF,ELECTRIC FIELD SERVICES,119496.41,28,8f4bafb8391fb2a8bb5bd9339c86194dfd9276d6
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,118107.22,29,4bdc6b8b94ee35ffd1d048e77d394a2a9ed223df
POLICE SERGEANT,INVESTIGATIONS,118061.05,30,63c941df78cec8b2efe1ddc08c13e5b503578343
CITY ATTORNEY,CITY ATTORNEY'S OFFICE,117390.47,31,a0850d23436eb91656e80484358d183f0a9917cd
BATTALION CHIEF II - 40 HR/WK,POUDRE FIRE AUTHORITY,117303.38,32,6aaf22a7a9e492f75cec9d10e6c94f27330a760f
POLICE LIEUTENANT,PATROL,116927.76,33,4df22c473d568c551a951610dddbe35acfe69401
POLICE OFFICER,INVESTIGATIONS,116244.33,34,d22a03b5644cb3a8e498e75498e16d18d90435c4
OPERATIONS SERVICES DIRECTOR,OPERATION SERVICES,115798.51,35,7d35feeb0a0a9af185bdee60dd6c4d500d895c5f
COMM DEV & NEIGH SVCS DIRECTOR,COMM DEV & NEIGHBORHOOD SVCS,115678.68,36,1e90600eff5ebb2acc77b5ebf8d4e1d1ed317b69
POLICE LIEUTENANT,PATROL,115277.17,37,c7c1bbc9d82e70de412a522150fd9cf6f7eaf3e2
ELECTRIC SYS DESIGN AND IT MGR,UT ELEC SYSTEM DESIGN & IT DIV,115175.69,38,4c8740c0cf526f1dcbf21d22c09af1a1af2378fd
DIVISION CHIEF,POUDRE FIRE AUTHORITY,114976.00,39,50c31e85cea4dc20b669e7359572714b796b7deb
DIVISION CHIEF,POUDRE FIRE AUTHORITY,114848.00,40,5cf046eac2e08cf342de590a74a556ab3579846f
ENVIRONMENTAL SERVICES MANAGER,UT ENVIRONMENTAL SERVICES DIV,114588.14,41,11c02590355e4d8a680c0310365f0e1146fe1153
ELECTRIC SYSTEMS OPERATOR,UT ELEC SYSTEM DESIGN & IT DIV,114556.19,42,2f6819f0aa2d4c9f5adfadc7be63ff63f1d27e48
POLICE LIEUTENANT,PATROL,114456.33,43,a57f25dff33d5966d6ef374da0af3e7c5801244c
DIVISION CHIEF,POUDRE FIRE AUTHORITY,114022.87,44,b9b6cedb4443a97890f4b6cd8e1909ffc68b3fc6
LINE CREW CHIEF,ELECTRIC FIELD SERVICES,113962.94,45,f0cded5ef8e9873226f0e0b6ee4424b26a8be6e1
PFA DIR OF ADMINISTRATIVE SERV,POUDRE FIRE AUTHORITY,113700.18,46,f1f72b631954be287229159c8f736131f76f4cf5
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,113331.97,47,041b8a574f9e0d8f33715673e1d2a63945ce4d93
LIBRARY DIRECTOR,LIBRARY DISTRICT,113103.40,48,453c05bdc132fc61711ea0390e7317537aa4b976
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,113005.35,49,7cc03679b94a1ef4f1faadf25604b8708d85230b
POLICE LIEUTENANT,PATROL,112771.66,50,f04557d893311e08cf0572b70df204f28cbdb45c
CAPTAIN I - 40 HR/WK,POUDRE FIRE AUTHORITY,112571.24,51,d7165344f712fa8f3ad7ecd729a051f18c9034ab
PDT DEPUTY DIRECTOR,PDT ADMINISTRATION,112522.24,52,79ad44d3559a216e12a741785779b6dac908e8e5
INFORMATION SECURITY ARCHITECT,INFORMATION TECHNOLOGY,112254.35,53,389953ada23fb4727ddcb435e8e46722f12aaec5
POLICE LIEUTENANT,INVESTIGATIONS,112059.13,54,e1057ff300f8534d5dd09611fc4326940a798122
POLICE LIEUTENANT,OFFICE OF THE CHIEF,111832.56,55,9f46c07365f0d01ac88aef2efc8f7ab26a7970f7
UTIL CUST CONNECTIONS MGR,UTILITIES CUSTOMER CONNECTIONS,111643.87,56,96c1fc2066e7e4082e4689265bb496edc1541728
POLICE SERGEANT,INVESTIGATIONS,111540.45,57,782d1430fa1558400fefbd6a5f3d0a53a50dfe74
POLICE SERGEANT,PATROL,111189.49,58,0fa20abed5eac579c13ac47d8b293a8b9ff1b17f
POLICE LIEUTENANT,PATROL,110446.46,59,bf152af1aa59b5b1691a148ce40e56cb93d73a90
POLICE SERGEANT,PATROL,110444.40,60,dd5da472b47e37c69144e0a99a39d36d70245e3f
LINE CREW CHIEF,ELECTRIC FIELD SERVICES,110219.00,61,d9c773e6ad8497ed0d63f65ddf122c5af0ff3e1f
POLICE LIEUTENANT,INVESTIGATIONS,109946.48,62,4bb7a06e8ed576b45d324024c1d8c27bac6cbdfd
STANDARDS ENGINEERING MGR,UT STANDARDS ENGINEERING DIV,109775.20,63,3f0ef8205b5ac385f04998c6e6c11bb011521ac1
POLICE OFFICER,INVESTIGATIONS,109572.24,64,383322ebde25a9a598443aea88f00ab14d0c392e
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,109503.68,65,c30aee246fa391ca90a8bd2e9b015c8ec7fe271f
POLICE SERGEANT,INVESTIGATIONS,109439.37,66,88b48143465af156119ae2f0971c27a71959591b
POLICE OFFICER,INVESTIGATIONS,109339.46,67,2848acc7b3c5607ec2f9575451e549ab1f3201e3
HUMAN RESOURCES DIRECTOR,HUMAN RESOURCES,109211.53,68,ff843d971004486b77e9e09932406a60b77926cb
ELECTRIC FIELD SERVICE MANAGER,ELECTRIC FIELD SERVICES,109118.80,69,fe421485dcf665c1c1ef6dce3cc8cd49a32ab670
SUPERVISORY CREW CHIEF,ELECTRIC FIELD SERVICES,109089.83,70,8cada38143220a8a53fab3d069c67c79a0cbc808
CAPTAIN II - 40 HR/WK,POUDRE FIRE AUTHORITY,108332.47,71,4b66fee678c5a1211ba6f861c59b28070f8b1819
SR ASSISTANT ATTORNEY,CITY ATTORNEY'S OFFICE,108191.58,72,e428fee549a91266be7ea522db3feb297480132e
DIR OF PURCHASING & RISK MGMT,PURCHASING,107553.50,73,df6870e62894a8d6b3790e2b9e8b31a67222bcd7
STRATEGIC PROJECTS MANAGER,UTILITIES STRATEGIC PLANNING,107452.78,74,f825b4fd03198c9792ab55171cbd9341cf2f101a
POLICE OFFICER,INVESTIGATIONS,107255.52,75,f75b9f7f0048705a9490cef88a6e0bdc2da0b021
ELECTRIC DIST SAFETY SUPV,ELECTRIC FIELD SERVICES,107232.02,76,4162a77403ff0f7032905db6509442b57381c665
LINE CREW CHIEF,ELECTRIC FIELD SERVICES,106572.94,77,164ac7f47558bc8723a182d96ff11af60e2f3b8c
POLICE SERGEANT,PATROL,106482.44,78,795d2b25e83ed9671cd84833acf0e60427e115f1
BATTALION CHIEF II - 40 HR/WK,POUDRE FIRE AUTHORITY,106279.76,79,85eb4c1be37fcaccabdb30203dc212616fe08ccf
POLICE SERGEANT,INVESTIGATIONS,106277.28,80,f2fd296d5072950fbf26289af25645072fdecd34
POLICE SERGEANT,OFFICE OF THE CHIEF,106274.10,81,edf305548a590d6ab0cf6b56cf27b799223fb21c
FIREFIGHTER II - 56 HR/WK,POUDRE FIRE AUTHORITY,106199.29,82,277e6939a0c63336bebd799b7206c17c6cc28410
SR DATABASE ADMINISTRATOR,INFORMATION TECHNOLOGY,106022.76,83,f3eb416e86cb1a15104f66eda1a50cc5b0250b7f
POLICE SERGEANT,PATROL,105884.10,84,eb6952887d932daa39ce5c20526ff8ab51a9e7d1
POLICE SERGEANT,INVESTIGATIONS,105726.68,85,1948779d71ab2aec5bb002d6a06d088360051941
SR DATABASE ADMINISTRATOR,INFORMATION TECHNOLOGY,105473.75,86,76ebf7ea06166f210106129982723bcd09d7a161
EMERGENCY SERVICES COMM MGR,POLICE INFORMATION SERVICES,105431.87,87,12502b0ea9272c8b03c89cfb53884fde9c004387
IT DIR-INFRASTRUCTURE SVS,INFORMATION TECHNOLOGY,105326.00,88,3a1ec82241f3680bcf1d100f5d63f2a92bd01847
MGR OF CAP PRJCTS/CITY ENGNEER,ENGINEERING,105218.35,89,ef63d865690ba75bcb10c77276282e30b40f883b
TRANSFORT/DAR GENERAL MANAGER,RIDE,105150.87,90,e19155fcfecdb5abd3abfabea9d77254e3e458b1
CHIEF ENGINEER,UT WATER SYSTEMS ENGR DIV,105097.81,91,ac90af5b8efb8c413059a4f18ad0dc8e7dbb3c8f
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,105057.88,92,acd65649baf29244e12ec4b9801c563f2a72550a
UTIL HLTH SAFTY & SECURTY MGR,SAFETY AND SECURITY,104951.70,93,a5dd0bee3999710639b69705339dee6540e72d20
MUNICIPAL JUDGE,MUNICIPAL COURT,104946.92,94,d40d83368365849bd8ac4681d3474d04a9c470aa
POLICE LIEUTENANT,PATROL,104700.84,95,1cf492bcf02e08397f28a0f7f38b16f4c3bf4e81
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,104452.90,96,b38893b46e8a5f087805e5fd5d2f07d4aa9cb2dd
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,104378.94,97,15f78c0d978a63f8785754e9173e764cf4f41b9a
POLICE SERGEANT,PATROL,104223.60,98,a842ead9a2733fd3f7091b8f56250ec7027805e3
CITY TRAFFIC ENGINEER,TRAFFIC,104047.22,99,4e17204500d04357f25355155e5eec42d222b9ce
ECONOMIC HEALTH DIRECTOR,ECONOMIC HEALTH OFFICE,103969.85,100,78545c86598a304e05592ebef8418954a6b11c4a
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,103936.99,101,91d03e9e2f97570562eb03142f456f03f2e1233d
POLICE OFFICER,PATROL,103703.38,102,7be2394361607a2c9dedbc54a5d7521c470b1a7b
POLICE OFFICER,INVESTIGATIONS,103672.37,103,541c8cf3b94c17d721e12911b8b90bf1a224221e
WTR UTIL DEV REVIEW MGR-INACTV,UT WATER SYSTEMS ENGR DIV,103609.21,104,84b982580d070a0d9842db7687cbf1a82c65115d
ENVIRONMENTAL SERVICES DIRECTR,ENVIRONMENTAL SERVICES,103586.87,105,c2403f1ddb61a1dfb9fa060d3822351375fac5a8
BATTALION CHIEF II - 40 HR/WK,POUDRE FIRE AUTHORITY,103573.00,106,006f5478b9cebf94db5683e454cc2e2e4b83f091
BATTALION CHIEF I - 56 HR/WK,POUDRE FIRE AUTHORITY,103571.86,107,7a4e39cabb3dda9f811b0b96f57ac4754c811b12
PROCESS/SYSTEMS SUPERVISOR,UT PROCESS & SUPERVIS CNTR DIV,103551.45,108,cd4a79b2dbe8af5f233bdcddc9017c727935aa22
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,103457.66,109,e009b999e1b9bbae6760ab24ddaa2dcf60d8483f
REG & GOV'T AFFRS MGR,UT REG & GOVT AFFAIRS DIV,103421.38,110,1a4b75c1e3f42fff937ade8da3f8d1d127124fa2
SR ELECTRICAL ENGINEER,UT ELECTRIC SYSTEMS ENG DIV,103312.14,111,6bf6c53c0b1f7566137f230ae791b55b27cef7c0
POLICE OFFICER,PATROL,103179.07,112,213556239c315c6863f51fe26b9f71c984267353
LINE EQUIPMENT CREW CHIEF,ELECTRIC FIELD SERVICES,102915.76,113,3a94c2a646a2a7db46190ddb02d31a2d94939c7d
LINE CREW CHIEF,ELECTRIC FIELD SERVICES,102852.08,114,103853631f6ddd384d79908772d1c0b41d3481a5
ELECTRIC LINEWORKER,ELECTRIC FIELD SERVICES,102421.83,115,90cabace3815b4c83dd4a1ddcc743af2dc9f3a07
POLICE SERGEANT,PATROL,102414.84,116,df6670e4035c09eac3997ff2aa241e1401b594c0
CITY CLERK,CITY CLERK'S OFFICE,102398.88,117,871c27577e832872c4220ecc778b80874566e80d
LINE CREW CHIEF,ELECTRIC FIELD SERVICES,102336.59,118,157892e180c94ac07ed2462d19111e72c47b761b
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,102228.36,119,9f99c1df5584024e4d5d51bc5186a15fbd0cf56e
POLICE OFFICER,PATROL,101840.53,120,92ef46782777e5bfef6edaf79dbcf85126b40a9b
STREETS SUPERINTENDENT,STREETS,101417.81,121,8652b4a9c2e6f75c4c37e57577b7f888af67df2c
NATURAL AREAS DIRECTOR,NATURAL AREAS,101334.42,122,475955f5a18ec3d151c0b4ddb049af9eee737ab3
ASST OPERATIONS SERVICES DIR,OPERATION SERVICES,101254.39,123,36221dc42e1dd4b1f9093813fea71d24e8527d72
CREW CHIEF,STREETS,101134.98,124,0740b224ab718ad7f59fe99dbb8a8e0333c41306
CAPTAIN II - 40 HR/WK,POUDRE FIRE AUTHORITY,101063.28,125,550ae15d5d9e236be6314418eaef8b9900bd4a3f
TRAINING CAPTAIN - 40 HR/WK,POUDRE FIRE AUTHORITY,100534.59,126,3624d9bb57cc206b10c34b977a0889a9ecb75523
"COMP, BENEFITS & HRIS MGR",HUMAN RESOURCES,100400.35,127,f40bf59cac8684234793ca05395b83d4c6cea816
POLICE OFFICER,INVESTIGATIONS,100350.09,128,27fdb45337192cab9c2f422298c97d79ff14b2c2
POLICE OFFICER,INVESTIGATIONS,100072.28,129,abc106f62bc483e0d7ce9a9337171f754b2d77ac
POLICE SERGEANT,PATROL,100051.68,130,57de1faa8754bb965a4daa5648482d50ac560da0
CAPTAIN I - 40 HR/WK,POUDRE FIRE AUTHORITY,99842.94,131,e259f0dc6bad3c1ae1efaec6466258a57f89f9fb
CAPTAIN II - 40 HR/WK,POUDRE FIRE AUTHORITY,99815.58,132,a372e529d3ddb1dbfd33cd101a8bcdd02441b9c2
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,99751.65,133,76164f80c868e0c31cb883f9c246d2389299ded9
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,99550.93,134,bed0b7e37a19bbc9efa3e9233ef41493c6a46b02
DIR OF PARK PLANNING & DEV,PARK PLANNING & DEVELOPMENT,99412.66,135,bb750f8f751c24949655f1e1c371c45fcdbcdce3
POLICE SERGEANT,INVESTIGATIONS,99381.40,136,51a6bffd3e539a32ff5a390fa77b255d91795c46
POLICE OFFICER,PATROL,99288.01,137,d6c540358ba46b894a5296867ad93d44afa49240
REVENUE AND PROJECT MANAGER,SALES TAX,99230.82,138,944c6875a744cea5ade67c1ffc360a72766e92dd
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,99212.36,139,90c737b578b1fe038b6a0e5008ab1cd602304d41
TRAINING CAPTAIN - 40 HR/WK,POUDRE FIRE AUTHORITY,99173.21,140,3eec2c419e774e17955d7de783fbbf52d1d45f9b
IT DIRECTOR - APPLICATION SVCS,INFORMATION TECHNOLOGY,98923.63,141,3c2da3a233b5c1c10d1565b5e4c12b1cd5b35a79
